"filename", "language", "C++", "YAML", "Dart", "Properties", "Groovy", "XML", "Kotlin", "Markdown", "Swift", "HTML", "JSON", "comment", "blank", "total"
"/Users/ferhat-pc/projelerim/todo_app_bloc/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/ferhat-pc/projelerim/todo_app_bloc/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/ferhat-pc/projelerim/todo_app_bloc/pubspec.yaml", "YAML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 93
"/Users/ferhat-pc/projelerim/todo_app_bloc/test/widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/ferhat-pc/projelerim/todo_app_bloc/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"/Users/ferhat-pc/projelerim/todo_app_bloc/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 36
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/ferhat-pc/projelerim/todo_app_bloc/windows/runner/win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 529, 21, 72, 8, 89, 466, 4, 13, 36, 38, 248, 329, 291, 2144
